Continent,Country,Year,Category,Expenditure,Visitors,AverageStayNights
Oceania,New Zealand,2011,Holiday,876776000,405480,12.6
Oceania,New Zealand,2011,Visiting friends and relatives,458732000,333750,12.5
Oceania,New Zealand,2011,Business,396487000,208303,7.5
Oceania,New Zealand,2011,Education,63773000,15295,44.7
Oceania,New Zealand,2011,Employment,248801000,42790,75.4
Oceania,New Zealand,2011,Otherreason,90286000,44726,11.4
Oceania,New Zealand,2011,Backpackers,92527000,34447,25.7
Oceania,New Zealand,2011,Nonbackpackers,2042328000,1015896,14.2
Asia,Japan,2011,Holiday,799607000,201213,18.5
Asia,Japan,2011,Visiting friends and relatives,84741000,31330,14.4
Asia,Japan,2011,Business,146308000,33941,12.9
Asia,Japan,2011,Education,220031000,19317,110
Asia,Japan,2011,Employment,0,0,0
Asia,Japan,2011,Otherreason,60265000,10833,44.2
Asia,Japan,2011,Backpackers,159917000,22714,90
Asia,Japan,2011,Nonbackpackers,1174613000,276690,19.5
Asia,Singapore,2011,Holiday,325541000,109571,10.6
Asia,Singapore,2011,Visiting friends and relatives,118109000,40622,17.4
Asia,Singapore,2011,Business,199571000,55181,9
Asia,Singapore,2011,Education,260799000,15283,94.1
Asia,Singapore,2011,Employment,0,0,0
Asia,Singapore,2011,Otherreason,29491000,10804,15.5
Asia,Singapore,2011,Backpackers,47955000,11590,25.5
Asia,Singapore,2011,Nonbackpackers,956399000,228477,19.5
Asia,China,2011,Holiday,913116000,227892,9.8
Asia,China,2011,Visiting friends and relatives,316573000,86589,61.1
Asia,China,2011,Business,350901000,69037,16.8
Asia,China,2011,Education,1810609000,88002,168.5
Asia,China,2011,Employment,130619000,11107,130.6
Asia,China,2011,Otherreason,0,0,0
Asia,China,2011,Backpackers,98822000,13189,55.2
Asia,China,2011,Nonbackpackers,3510648000,491453,50.9
Americas,United States,2011,Holiday,756028000,159272,18.8
Americas,United States,2011,Visiting friends and relatives,312978000,96194,24.3
Americas,United States,2011,Business,648669000,105467,15.2
Americas,United States,2011,Education,218239000,23293,65.5
Americas,United States,2011,Employment,159341000,17981,80.4
Americas,United States,2011,Otherreason,60646000,18488,10.6
Americas,United States,2011,Backpackers,274260000,42368,49.2
Americas,United States,2011,Nonbackpackers,1881641000,378328,21.2
Europe,United Kingdom,2011,Holiday,1373674000,238643,40.9
Europe,United Kingdom,2011,Visiting friends and relatives,842315000,239461,27
Europe,United Kingdom,2011,Business,316038000,55322,22.8
Europe,United Kingdom,2011,Education,0,0,0
Europe,United Kingdom,2011,Employment,307842000,26269,118.5
Europe,United Kingdom,2011,Otherreason,70344000,16273,42.8
Europe,United Kingdom,2011,Backpackers,782622000,107280,76.5
Europe,United Kingdom,2011,Nonbackpackers,2189933000,477483,28.6
Asia,Korea,2011,Holiday,592863000,108845,56.6
Asia,Korea,2011,Visiting friends and relatives,118927000,26140,32.1
Asia,Korea,2011,Business,84681000,17168,19.2
Asia,Korea,2011,Education,370129000,20350,173.2
Asia,Korea,2011,Employment,0,0,0
Asia,Korea,2011,Otherreason,116718000,10890,176.8
Asia,Korea,2011,Backpackers,291010000,32917,137
Asia,Korea,2011,Nonbackpackers,1061992000,156956,59.5
Oceania,New Zealand,2012,Holiday,896897000,415682,12.7
Oceania,New Zealand,2012,Visiting friends and relatives,495451000,350811,12.5
Oceania,New Zealand,2012,Business,414343000,208348,7.7
Oceania,New Zealand,2012,Education,91779000,17301,40.5
Oceania,New Zealand,2012,Employment,280892000,42232,78
